Field,Type,Frequency,Percent,Examples
blocks[].fields.cert_html_view_overrides.default.company_verified_certificate_url,String,222,0.17,http://www.YourOrganization.com/about_verified_certificates | www.utpl.edu.ec
blocks[].fields.cert_html_view_overrides.default.logo_src,String,222,0.17,/static/certificates/images/our_logo.svg | /static/certificates/images/utpl_logo.jpg | /static/certificates/images/openCampus_logo.png
blocks[].fields.cert_html_view_overrides.default.logo_url,String,222,0.17,opencampus.utpl.edu.ec | www.YourOrganization.com
blocks[].fields.cert_html_view_overrides.default.platform_name,String,222,0.17,OpenCampus | YourPlatformName
blocks[].fields.cert_html_view_overrides.distinguished,Object,222,0.17,"{'certificate_type': 'distinguished', 'certificate_title': 'Distinguished Certificate of Achievement', 'document_body_class_append': 'is-distinguished"
blocks[].fields.cert_html_view_overrides.distinguished.certificate_title,String,222,0.17,Distinguished Certificate of Achievement
blocks[].fields.cert_html_view_overrides.distinguished.certificate_type,String,222,0.17,distinguished
blocks[].fields.cert_html_view_overrides.distinguished.document_body_class_append,String,222,0.17,is-distinguished
blocks[].fields.cert_html_view_overrides.honor,Object,222,0.17,"{'certificate_type': 'honor', 'certificate_title': 'Certificado de Honor', 'document_body_class_append': 'is-honorcode'} | {'certificate_type': 'honor', 'certificate_title': 'Honor Certificate', 'document_body_class_append': 'is-honorcode'}"
blocks[].fields.cert_html_view_overrides.honor.certificate_title,String,222,0.17,Certificado de Honor | Honor Certificate
blocks[].fields.cert_html_view_overrides.honor.certificate_type,String,222,0.17,honor
blocks[].fields.cert_html_view_overrides.honor.document_body_class_append,String,222,0.17,is-honorcode
blocks[].fields.cert_html_view_overrides.verified,Object,222,0.17,"{'platform_name': 'OpenCampus', 'logo_url': 'opencampus.utpl.edu.ec', 'company_verified_certificate_url': 'www.utpl.edu.ec', 'company_privacy_url': 'o | {'platform_name': 'OpenCampus', 'certificate_title': 'Certificado de Verificación', 'company_verified_certificate_url': 'www.utpl.edu.ec', 'company_pr | {'certificate_type': 'verified', 'certificate_title': 'Verified Certificate', 'document_body_class_append': 'is-idverified'} | {'certificate_type': 'verified', 'company_tos_url': 'http://opencampus.utpl.edu.ec/tos', 'company_verified_certificate_url': 'www.utpl.edu.ec', 'compa | {'certificate_type': 'verified', 'certificate_title': 'Certificado de Verificación', 'document_body_class_append': 'is-idverified'}"
blocks[].fields.cert_html_view_overrides.verified.accomplishment_class_append,String,174,0.14,accomplishment-certificate
blocks[].fields.cert_html_view_overrides.verified.certificate_title,String,222,0.17,Certificado de Verificación | Verified Certificate
blocks[].fields.cert_html_view_overrides.verified.certificate_type,String,222,0.17,verified
blocks[].fields.cert_html_view_overrides.verified.company_about_url,String,174,0.14,opencampus.utpl.edu.ec
blocks[].fields.cert_html_view_overrides.verified.company_privacy_url,String,174,0.14,opencampus.utpl.edu.ec
blocks[].fields.cert_html_view_overrides.verified.company_tos_url,String,174,0.14,http://opencampus.utpl.edu.ec/tos
blocks[].fields.cert_html_view_overrides.verified.company_verified_certificate_url,String,174,0.14,www.utpl.edu.ec
blocks[].fields.cert_html_view_overrides.verified.document_body_class_append,String,222,0.17,is-idverified
blocks[].fields.cert_html_view_overrides.verified.logo_src,String,174,0.14,/static/certificates/images/utpl_logo.jpg
blocks[].fields.cert_html_view_overrides.verified.logo_url,String,174,0.14,opencampus.utpl.edu.ec
blocks[].fields.cert_html_view_overrides.verified.platform_name,String,174,0.14,OpenCampus
blocks[].fields.cert_name_long,String,2504,1.95, | Introducción a JavaScript |   | Python Certificate nombre largo
blocks[].fields.cert_name_short,String,12619,9.85, | Python Certificate |   | cursoApoyo | Intro a JS
blocks[].fields.certificates,Object,2494,1.95,"{'certificates': [{'course_title': 'Python', 'name': 'Name of the certificate', 'is_active': False, 'signatories': [{'name': 'Janneth Chicaiza', 'cert | {'certificates': [{'course_title': 'Curso Demo', 'name': 'Name of the certificate', 'is_active': True, 'signatories': [{'name': 'Krmita', 'certificate | {'certificates': [{'course_title': 'Python', 'name': 'Name of the certificate', 'is_active': True, 'signatories': [{'name': 'Janneth Chicaiza', 'certi | {'certificates': [{'course_title': 'Manejo del recurso suelo', 'name': 'Name of the certificate', 'is_active': False, 'signatories': [{'name': 'Letici | {'certificates': [{'course_title': 'Curso Demo', 'name': 'Name of the certificate', 'is_active': False, 'signatories': [{'name': 'Krmita', 'certificat"
blocks[].fields.certificates.certificates,Array,2494,1.95,"[{'course_title': 'Curso Demo', 'name': 'Name of the certificate', 'is_active': True, 'signatories': [{'name': 'Krmita', 'certificate': None, 'title': | [{'course_title': 'Python', 'name': 'Name of the certificate', 'is_active': True, 'signatories': [{'name': 'Janneth Chicaiza', 'certificate': None, 't | [{'course_title': 'Curso Demo', 'name': 'Name of the certificate', 'is_active': False, 'signatories': [{'name': 'Krmita', 'certificate': None, 'title' | [{'course_title': 'Python', 'name': 'Name of the certificate', 'is_active': False, 'signatories': [{'name': 'Janneth Chicaiza', 'certificate': None, ' | [{'course_title': 'Manejo del recurso suelo', 'name': 'Name of the certificate', 'is_active': False, 'signatories': [{'name': 'Leticia Jiménez ', 'cer"
blocks[].fields.certificates.certificates[],Array,2494,1.95,
blocks[].fields.certificates.certificates[].course_title,String,2488,1.94,Manejo del recurso suelo | Python | Python Básico | Educación para una alimentación saludable | Curso Demo
blocks[].fields.certificates.certificates[].description,String,2488,1.94,Description of the certificate
blocks[].fields.certificates.certificates[].editing,Boolean,2488,1.94,False
blocks[].fields.certificates.certificates[].id,Integer,2488,1.94,1361911651 | 153474192 | 968426042 | 745638909 | 1856061470
blocks[].fields.certificates.certificates[].is_active,Boolean,2488,1.94,True | False
blocks[].fields.certificates.certificates[].name,String,2488,1.94,Name of the certificate
blocks[].fields.certificates.certificates[].signatories,Array,2488,1.94,"[{'name': 'René Rolando', 'certificate': None, 'title': 'Mgtr.', 'organization': 'Universidad Técnica Particular de Loja', 'signature_image_path': '', | [{'name': 'René Rolando Elizalde', 'certificate': None, 'title': 'Magister ', 'organization': 'UTPL-TAW', 'signature_image_path': '', 'id': 1487619474 | [{'name': 'Krmita', 'certificate': None, 'title': 'Ing', 'organization': 'UTPL', 'signature_image_path': '', 'id': 1301284243}] | [{'name': 'Leticia Jiménez ', 'certificate': None, 'title': 'Doctora en Ciencias Biológicas', 'organization': 'Universidad Técnica Particular de Loja' | [{'name': 'Janneth Chicaiza', 'certificate': None, 'title': 'Ph.d.', 'organization': 'Universidad Técnica Particular de Loja', 'signature_image_path':"
blocks[].fields.certificates.certificates[].signatories[],Array,2488,1.94,
blocks[].fields.certificates.certificates[].signatories[].certificate,Null,2488,1.94,None
blocks[].fields.certificates.certificates[].signatories[].id,Integer,2488,1.94,456864036 | 2061899149 | 1487619474 | 396648168 | 1301284243
blocks[].fields.certificates.certificates[].signatories[].name,String,2488,1.94,René Rolando Elizalde | Krmita | Janneth Chicaiza | René Rolando | Leticia Jiménez 
blocks[].fields.certificates.certificates[].signatories[].organization,String,2488,1.94,UTPL | UTPL-TAW | Universidad Técnica Particular de Loja
blocks[].fields.certificates.certificates[].signatories[].signature_image_path,String,2488,1.94,
blocks[].fields.certificates.certificates[].signatories[].title,String,2488,1.94,Ing | Ph.d. | Mgtr. | Doctora en Ciencias Biológicas | Magister 
blocks[].fields.certificates.certificates[].version,Integer,2488,1.94,1
blocks[].fields.certificates_display_behavior,String,1649,1.29,end | early_with_info
blocks[].fields.checklists,Array,28826,22.49,"[{'short_description': 'Getting Started With Studio', 'items': [{'action_external': False, 'is_checked': False, 'action_url': '/manage_users/i4x://edX | [{'short_description': 'Getting Started With Studio', 'items': [{'action_external': False, 'short_description': 'Add Course Team Members', 'action_url | [{'short_description': 'Getting Started With Studio', 'items': [{'action_external': False, 'is_checked': True, 'action_url': 'ManageUsers', 'action_te | [{'short_description': 'Getting Started With Studio', 'items': [{'action_external': False, 'is_checked': False, 'action_url': 'ManageUsers', 'action_t"
blocks[].fields.checklists[],Array,28826,22.49,
blocks[].fields.checklists[].action_urls_expanded,Boolean,2796,2.18,True
blocks[].fields.checklists[].id,Integer,699,0.55,0
blocks[].fields.checklists[].items,Array,115304,89.97,"[{'action_external': False, 'short_description': 'Create Your First Section and Subsection', 'action_url': 'CourseOutline', 'action_text': 'Edit Cours | [{'action_external': True, 'short_description': 'Explore the Studio Help Forum', 'action_url': 'http://help.edge.edx.org/', 'action_text': 'Visit Stud | [{'action_external': False, 'short_description': 'Add Course Team Members', 'action_url': 'ManageUsers', 'action_text': 'Edit Course Team', 'is_checke | [{'action_external': False, 'short_description': 'Draft a Course Description', 'action_url': 'SettingsDetails', 'action_text': 'Edit Course Schedule & | [{'action_external': False, 'is_checked': True, 'action_url': 'ManageUsers', 'action_text': 'Edit Course Team', 'short_description': 'Add Course Team "
